,id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes
0,1,Fábio Vieira,1,ARS,MID,0,0,0,0,0,0
1,7,Jorginho,1,ARS,MID,20,0,0,0,2,701
2,9,Martinelli,1,ARS,MID,125,8,4,6,10,2284
3,12,Nwaneri,1,ARS,MID,66,4,2,4,4,882
4,13,Ødegaard,1,ARS,MID,116,3,9,11,11,2321
5,16,Rice,1,ARS,MID,127,4,7,17,11,2823
6,17,Saka,1,ARS,MID,127,6,11,18,7,1724
7,20,Thomas,1,ARS,MID,108,4,3,8,9,2793
8,23,Trossard,1,ARS,MID,152,8,8,18,11,2546
9,186,Sterling,1,ARS,MID,26,0,2,0,1,490
10,595,Lewis-Skelly,1,ARS,MID,37,1,0,0,5,1362
11,633,Merino,1,ARS,MID,92,7,2,8,4,1575
12,638,Oulad M'hand,1,ARS,MID,0,0,0,0,0,0
13,659,Kabia,1,ARS,MID,0,0,0,0,0,0
14,770,Gower,1,ARS,MID,0,0,0,0,0,0
15,773,Jack Henry-Francis,1,ARS,MID,0,0,0,0,0,0
16,2,G.Jesus,1,ARS,FWD,42,3,2,6,2,600
17,4,Havertz,1,ARS,FWD,97,9,3,14,7,1872
18,665,Butler-Oyedeji,1,ARS,FWD,1,0,0,0,0,6
19,3,Gabriel,1,ARS,DEF,117,3,2,9,10,2363
20,6,J.Timber,1,ARS,DEF,114,1,3,9,11,2415
21,8,Kiwior,1,ARS,DEF,43,1,0,2,3,1117
22,18,Saliba,1,ARS,DEF,130,2,0,14,12,3039
23,21,Tierney,1,ARS,DEF,27,1,0,2,1,250
24,22,Tomiyasu,1,ARS,DEF,1,0,0,0,0,6
25,24,White,1,ARS,DEF,50,0,2,0,5,1195
26,25,Zinchenko,1,ARS,DEF,40,0,1,2,4,518
27,578,Calafiori,1,ARS,DEF,39,2,1,1,1,978
28,657,Kacurri,1,ARS,DEF,0,0,0,0,0,0
29,662,Nichols,1,ARS,DEF,0,0,0,0,0,0
