id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
1,Raya,1,ARS,GKP,162,0,0,11,19,3330,134,36.4,6.2
2,Arrizabalaga,1,ARS,GKP,2,0,0,0,0,90,510,0.4,4.0
3,Hein,1,ARS,GKP,0,0,0,0,0,0,736,0.2,4.0
4,Setford,1,ARS,GKP,0,0,0,0,0,0,814,0.2,3.9
5,Gabriel,1,ARS,DEF,209,3,5,30,18,2750,88,45.4,7.3
6,Saliba,1,ARS,DEF,137,1,0,12,15,2614,93,17.1,6.3
7,Calafiori,1,ARS,DEF,109,1,2,6,13,1697,188,6.0,5.6
8,J.Timber,1,ARS,DEF,149,3,6,9,13,2452,164,15.2,6.0
9,Kiwior,1,ARS,DEF,0,0,0,0,0,0,226,0.0,5.4
10,Lewis-Skelly,1,ARS,DEF,29,0,0,0,2,697,147,1.9,5.0
11,White,1,ARS,DEF,45,0,1,3,5,699,182,0.5,5.1
12,Zinchenko,16,NFO,DEF,7,0,0,0,0,352,309,0.2,4.9
13,Clarke,1,ARS,DEF,0,0,0,0,0,0,731,0.5,3.7
14,Kacurri,1,ARS,DEF,0,0,0,0,0,0,776,0.1,3.9
15,Nichols,1,ARS,DEF,0,0,0,0,0,0,786,0.2,3.7
16,Saka,1,ARS,MID,157,7,10,18,12,2218,5,11.6,10.0
17,Ødegaard,1,ARS,MID,74,1,7,5,6,1363,17,1.7,7.8
18,Madueke,1,ARS,MID,72,3,1,9,8,1205,42,0.8,6.8
19,Martinelli,1,ARS,MID,57,1,5,3,2,1065,46,0.9,6.8
20,Trossard,1,ARS,MID,119,6,6,11,11,1997,45,1.8,6.6
21,Rice,1,ARS,MID,184,4,9,23,18,3093,51,23.3,7.2
22,Merino,1,ARS,MID,67,4,3,5,4,1024,105,0.7,5.3
23,Fábio Vieira,1,ARS,MID,0,0,0,0,0,0,237,0.0,5.4
24,Nørgaard,1,ARS,MID,7,0,0,0,0,101,181,0.1,5.1
25,Nwaneri,1,ARS,MID,8,0,0,0,1,165,185,0.1,5.0
26,Zubimendi,1,ARS,MID,133,5,1,9,16,2991,169,2.7,4.9
27,Nelson,5,BRE,MID,13,0,1,0,0,118,324,0.1,4.8
28,Kabia,1,ARS,MID,0,0,0,0,0,0,542,0.1,4.5
29,Sambi,1,ARS,MID,0,0,0,0,0,0,586,0.0,4.5
30,Havertz,1,ARS,FWD,36,2,3,3,4,577,27,0.7,7.3
31,G.Jesus,1,ARS,FWD,24,3,0,0,1,418,80,0.4,6.4
32,Martinez,2,AVL,GKP,120,0,1,11,7,2835,299,4.4,5.0
33,M.Bizot,2,AVL,GKP,16,0,0,0,1,585,549,0.4,4.2
34,Gauci,2,AVL,GKP,0,0,0,0,0,0,729,0.1,4.0
35,Marschall,2,AVL,GKP,0,0,0,0,0,0,784,0.0,4.0
36,Cash,2,AVL,DEF,117,3,3,7,8,3016,498,7.4,4.6
37,Digne,2,AVL,DEF,97,0,7,5,7,1842,500,1.5,4.5
38,Konsa,2,AVL,DEF,100,0,1,3,9,3035,471,7.0,4.4
39,Maatsen,2,AVL,DEF,54,0,1,1,2,1590,505,0.5,4.2
40,Mings,2,AVL,DEF,50,0,1,4,3,1322,535,0.6,4.3
41,Pau,2,AVL,DEF,64,0,2,2,5,1673,540,0.3,4.3
42,A.García,2,AVL,DEF,5,0,0,0,0,83,727,0.2,3.9
43,Alex Moreno,2,AVL,DEF,0,0,0,0,0,0,682,1.5,4.0
44,Bogarde,2,AVL,DEF,40,0,0,4,2,1042,772,0.5,4.0
45,Sousa,2,AVL,DEF,0,0,0,0,0,0,769,0.2,3.8
46,Yasin,2,AVL,DEF,0,0,0,0,0,0,766,0.1,4.0
47,Rogers,2,AVL,MID,169,10,8,17,9,3280,30,20.2,7.3
48,Tielemans,2,AVL,MID,68,0,4,3,4,1857,98,0.7,5.9
49,Bailey,2,AVL,MID,21,0,2,0,0,450,192,0.1,5.5
50,Buendía,2,AVL,MID,102,6,2,10,3,1753,235,0.4,5.3
51,Iling Jr,2,AVL,MID,0,0,0,0,0,0,236,0.0,5.5
52,J.Ramsey,15,NEW,MID,62,2,3,3,1,1441,183,0.3,5.3
53,Malen,2,AVL,MID,55,4,2,3,1,640,180,0.4,5.1
54,McGinn,2,AVL,MID,103,5,4,6,8,2136,186,0.7,5.3
55,Barkley,2,AVL,MID,56,3,2,5,1,844,307,0.1,4.8
56,Barrenechea,2,AVL,MID,0,0,0,0,0,0,386,0.0,5.0
57,Dobbin,2,AVL,MID,0,0,0,0,0,0,381,0.0,5.0
58,Kamara,2,AVL,MID,61,1,3,7,5,1410,321,0.2,4.9
59,Onana,2,AVL,MID,76,2,0,4,6,1755,270,0.6,4.8
60,Broggio,2,AVL,MID,0,0,0,0,0,0,562,0.2,4.4
61,Dendoncker,2,AVL,MID,0,0,0,0,0,0,536,0.1,4.5
62,Jimoh-Aloba,2,AVL,MID,1,0,0,0,0,8,646,0.1,4.5
63,Young,2,AVL,MID,0,0,0,0,0,0,523,0.5,4.3
64,Watkins,2,AVL,FWD,167,16,4,26,9,2833,6,13.0,8.7
65,Redmond,2,AVL,FWD,0,0,0,0,0,0,507,0.3,4.5
66,Neto,4,BOU,GKP,0,0,0,0,0,0,501,0.1,4.5
67,Petrović,4,BOU,GKP,124,0,0,5,11,3420,484,5.2,4.6
68,Dennis,4,BOU,GKP,0,0,0,0,0,0,734,0.7,4.0
69,McKenna,4,BOU,GKP,0,0,0,0,0,0,802,0.2,3.9
70,Paulsen,4,BOU,GKP,0,0,0,0,0,0,813,0.1,4.0
71,Zabarnyi,4,BOU,DEF,0,0,0,0,0,0,291,0.0,5.0
72,Senesi,4,BOU,DEF,175,0,6,14,11,3288,517,22.0,5.2
73,Smith,4,BOU,DEF,58,0,2,4,6,1073,588,0.2,4.4
74,Truffert,4,BOU,DEF,165,1,6,19,11,3378,493,5.3,4.8
75,Akinmboni,4,BOU,DEF,0,0,0,0,0,0,755,0.2,3.8
76,Bevan,4,BOU,DEF,0,0,0,0,0,0,744,0.2,3.8
77,Hill,4,BOU,DEF,110,0,3,4,8,2102,738,7.4,4.2
78,J.Araujo,4,BOU,DEF,0,0,0,0,0,0,723,0.5,3.8
79,Mepham,4,BOU,DEF,0,0,0,0,0,0,768,0.1,4.0
80,Soler,4,BOU,DEF,3,0,0,0,0,34,761,0.2,3.9
