,element,short_name,index,pick,web_name,total_points,league_code,position
0,351,CR,1,1,Haaland,181,Prem,FWD
1,4,CR,12,6,Havertz,97,Prem,FWD
2,207,CR,13,1,Mateta,150,Prem,FWD
3,199,CR,24,6,Eze,148,Prem,MID
4,28,CR,25,1,Bailey,47,Prem,MID
5,18,CR,36,6,Saliba,130,Prem,DEF
6,99,CR,37,1,Mbeumo,236,Prem,MID
7,340,CR,48,6,Akanji,61,Prem,DEF
8,361,CR,49,1,Rúben,90,Prem,DEF
9,525,CR,60,6,Kudus,106,Prem,MID
10,15,CR,61,1,Raya,142,Prem,GKP
11,333,CR,72,6,Quansah,9,Prem,DEF
12,19,CR,73,1,Smith Rowe,114,Prem,MID
13,409,CR,84,6,Livramento,105,Prem,DEF
14,358,CR,85,1,Ortega Moreno,35,Prem,GKP
15,182,JP,3,3,Palmer,214,Prem,MID
16,348,JP,10,4,Foden,105,Prem,MID
17,82,JP,15,3,Solanke,108,Prem,FWD
18,327,JP,22,4,Luis Díaz,183,Prem,MID
19,311,JP,27,3,Alexander-Arnold,148,Prem,DEF
20,541,JP,34,4,Cunha,178,Prem,FWD
21,495,JP,39,3,Pedro Porro,98,Prem,DEF
22,350,JP,46,4,Gvardiol,153,Prem,DEF
23,335,JP,51,3,Robertson,91,Prem,DEF
24,2,JP,58,4,G.Jesus,42,Prem,FWD
25,347,JP,63,3,Ederson M.,111,Prem,GKP
26,560,JP,70,4,Neto,104,Prem,MID
27,593,JP,75,3,De Ligt,68,Prem,DEF
28,508,JP,82,4,Vicario,66,Prem,GKP
29,16,JP,87,3,Rice,127,Prem,MID
30,328,HC,4,4,M.Salah,344,Prem,MID
31,345,HC,9,3,De Bruyne,114,Prem,MID
32,13,HC,16,4,Ødegaard,116,Prem,MID
33,316,HC,21,3,Darwin,66,Prem,FWD
34,375,HC,28,4,Højlund,78,Prem,FWD
35,589,HC,33,3,Füllkrug,42,Prem,FWD
36,385,HC,40,4,Rashford,95,Prem,MID
37,578,HC,45,3,Calafiori,39,Prem,DEF
38,363,HC,52,4,Walker,13,Prem,DEF
39,45,HC,57,3,Maatsen,57,Prem,DEF
40,310,HC,64,4,A.Becker,112,Prem,GKP
41,181,HC,69,3,Nkunku,60,Prem,MID
42,171,HC,76,4,Gusto,60,Prem,DEF
43,122,HC,81,3,Estupiñan,63,Prem,DEF
44,325,HC,88,4,Kelleher,45,Prem,GKP
45,17,LD,5,5,Saka,127,Prem,MID
46,401,LD,8,2,Isak,211,Prem,FWD
47,317,LD,17,5,Diogo J.,87,Prem,MID
48,514,LD,20,2,Bowen,193,Prem,MID
49,24,LD,29,5,White,50,Prem,DEF
50,342,LD,32,2,Bernardo,110,Prem,MID
51,180,LD,41,5,N.Jackson,121,Prem,FWD
52,339,LD,44,2,Virgil,143,Prem,DEF
53,418,LD,53,5,Trippier,72,Prem,DEF
