,id,total_points,gameweek,total_points_scored_after_gameweek
0,1,0,1,0
616,1,0,2,0
1243,1,0,3,0
1891,1,0,4,0
2550,1,0,5,0
3211,1,0,6,0
3875,1,0,7,0
4541,1,0,8,0
5208,1,0,9,0
5878,1,0,10,0
6552,1,0,11,0
7230,1,0,12,0
7914,1,0,13,0
8604,1,0,14,0
9297,1,0,15,0
9990,1,0,16,0
10691,1,0,17,0
11392,1,0,18,0
12097,1,0,19,0
12806,1,0,20,0
13517,1,0,21,0
14241,1,0,22,0
14970,1,0,23,0
15706,1,0,24,0
16448,1,0,25,0
17207,1,0,26,0
17970,1,0,27,0
18734,1,0,28,0
19503,1,0,29,0
20272,1,0,30,0
21043,1,0,31,0
21815,1,0,32,0
22593,1,0,33,0
23372,1,0,34,0
24152,1,0,35,0
24933,1,0,36,0
25714,1,0,37,0
26495,1,0,38,0
1,2,0,1,42
617,2,0,2,42
1244,2,0,3,42
1892,2,1,4,42
2551,2,0,5,41
3212,2,1,6,41
3876,2,1,7,40
4542,2,1,8,39
5209,2,0,9,38
5879,2,1,10,38
6553,2,1,11,37
7231,2,1,12,36
7915,2,1,13,35
8605,2,0,14,34
9298,2,1,15,34
9991,2,1,16,33
10692,2,16,17,32
11393,2,2,18,16
12098,2,12,19,14
12807,2,2,20,2
13518,2,0,21,0
14242,2,0,22,0
14971,2,0,23,0
15707,2,0,24,0
16449,2,0,25,0
17208,2,0,26,0
17971,2,0,27,0
18735,2,0,28,0
19504,2,0,29,0
20273,2,0,30,0
21044,2,0,31,0
21816,2,0,32,0
22594,2,0,33,0
23373,2,0,34,0
24153,2,0,35,0
24934,2,0,36,0
25715,2,0,37,0
26496,2,0,38,0
2,3,6,1,117
618,3,6,2,111
1245,3,2,3,105
1893,3,15,4,103
2552,3,7,5,88
3213,3,1,6,81
3877,3,2,7,80
4543,3,1,8,78
5210,3,1,9,77
5880,3,2,10,76
6554,3,2,11,74
7232,3,6,12,72
7916,3,9,13,66
8606,3,0,14,57
9299,3,0,15,57
9992,3,9,16,57
10693,3,4,17,48
11394,3,6,18,44
12099,3,2,19,38
12808,3,2,20,36
13519,3,1,21,34
14243,3,1,22,33
14972,3,7,23,32
15708,3,2,24,25
16450,3,6,25,23
17209,3,2,26,17
17972,3,7,27,15
18736,3,2,28,8
19505,3,5,29,6
20274,3,1,30,1
21045,3,0,31,0
21817,3,0,32,0
22595,3,0,33,0
23374,3,0,34,0
24154,3,0,35,0
24935,3,0,36,0
25716,3,0,37,0
26497,3,0,38,0
3,4,12,1,97
619,4,2,2,85
1246,4,8,3,83
1894,4,2,4,75
2553,4,2,5,73
3214,4,6,6,71
3878,4,8,7,65
4544,4,2,8,57
5211,4,2,9,55
5881,4,1,10,53
6555,4,1,11,52
7233,4,0,12,51
7917,4,6,13,51
8607,4,2,14,45
9300,4,5,15,43
9993,4,2,16,38
10694,4,6,17,36
11395,4,7,18,30
12100,4,0,19,23
12809,4,0,20,23
13520,4,1,21,23
14244,4,7,22,22
14973,4,2,23,15
15709,4,12,24,13
16451,4,0,25,1
17210,4,0,26,1
17973,4,0,27,1
18737,4,0,28,1
19506,4,0,29,1
20275,4,0,30,1
21046,4,0,31,1
21818,4,0,32,1
22596,4,0,33,1
23375,4,0,34,1
24155,4,0,35,1
24936,4,0,36,1
25717,4,0,37,1
26498,4,1,38,1
4,5,0,1,0
620,5,0,2,0
1247,5,0,3,0
1895,5,0,4,0
2554,5,0,5,0
3215,5,0,6,0
3879,5,0,7,0
4545,5,0,8,0
5212,5,0,9,0
5882,5,0,10,0
6556,5,0,11,0
7234,5,0,12,0
7918,5,0,13,0
8608,5,0,14,0
9301,5,0,15,0
9994,5,0,16,0
10695,5,0,17,0
11396,5,0,18,0
12101,5,0,19,0
12810,5,0,20,0
13521,5,0,21,0
14245,5,0,22,0
14974,5,0,23,0
15710,5,0,24,0
16452,5,0,25,0
17211,5,0,26,0
17974,5,0,27,0
18738,5,0,28,0
19507,5,0,29,0
20276,5,0,30,0
21047,5,0,31,0
21819,5,0,32,0
22597,5,0,33,0
23376,5,0,34,0
24156,5,0,35,0
24937,5,0,36,0
25718,5,0,37,0
26499,5,0,38,0
5,6,1,1,114
621,6,6,2,113
1248,6,1,3,107
1896,6,5,4,106
2555,6,2,5,101
3216,6,4,6,99
3880,6,0,7,95
4546,6,0,8,95
5213,6,2,9,95
5883,6,1,10,93
