,added,event,person,kind,result,index,position,player_in,player_out,player_in_points_scored_in_week,player_in_points_scored_after,player_out_points_scored_in_week,player_out_points_scored_after,net_points_of_trade,net_points_of_trade_per_week,net_points_of_trade_in_week,points_actually_scored,points_not_realised,net_points_banked
0,2024-08-15T22:13:32.766328Z,1,JP,free agent,successful,,DEF,Wan-Bissaka,De Ligt,0,118,1,68,50,1.3157894736842106,-1,1.0,117.0,-67.0
1,2025-02-24T11:21:41.174865Z,27,JP,waiver,unsuccessful - player in already been picked up,11.0,DEF,Wan-Bissaka,Huijsen,7,41,1,35,6,0.5,6,0.0,41.0,-35.0
2,2025-02-24T11:21:41.174898Z,27,JP,waiver,unsuccessful - player out already gone,16.0,DEF,Cash,Huijsen,0,35,1,35,0,0.0,-1,0.0,35.0,-35.0
3,2025-02-24T11:21:41.174881Z,27,JP,waiver,successful,12.0,DEF,Dorgu,Huijsen,-3,16,1,35,-19,-1.5833333333333333,-4,-3.0,19.0,-38.0
4,2025-02-24T12:27:33.387395Z,27,CR,waiver,successful,7.0,DEF,Wan-Bissaka,Tarkowski,7,41,2,16,25,2.0833333333333335,5,9.0,32.0,-7.0
5,2024-12-07T09:53:34.244478Z,15,JP,free agent,successful,,DEF,Cash,Robertson,0,55,0,44,11,0.4583333333333333,0,0.0,55.0,-44.0
6,2025-02-24T11:21:41.174849Z,27,JP,waiver,unsuccessful - player out already gone,10.0,MID,Johnson,Smith Rowe,2,33,0,24,9,0.75,2,0.0,33.0,-24.0
7,2025-02-24T11:21:41.174782Z,27,JP,waiver,successful,5.0,MID,M.Asensio,Smith Rowe,1,26,0,24,2,0.16666666666666666,1,4.0,22.0,-20.0
8,2025-02-24T11:21:41.174829Z,27,JP,waiver,unsuccessful - player in already been picked up,9.0,MID,B.Fernandes,Smith Rowe,10,58,0,24,34,2.8333333333333335,10,0.0,58.0,-24.0
9,2025-02-25T03:42:41.581937Z,27,LD,free agent,successful,,MID,Johnson,Trossard,2,33,3,59,-26,-2.1666666666666665,-1,4.0,29.0,-55.0
10,2025-02-23T19:18:40.657851Z,27,AN,waiver,successful,5.0,MID,Neto,Trossard,11,50,3,59,-9,-0.75,8,23.0,27.0,-36.0
11,2025-02-23T19:18:40.657944Z,27,AN,waiver,unsuccessful - player out already gone,12.0,MID,Nkunku,Trossard,12,19,3,59,-40,-3.3333333333333335,9,0.0,19.0,-59.0
12,2025-02-23T19:18:40.657902Z,27,AN,waiver,unsuccessful - player in already been picked up,10.0,MID,Szoboszlai,Trossard,11,44,3,59,-15,-1.25,8,0.0,44.0,-59.0
13,2025-02-24T13:12:54.709337Z,27,IR,waiver,unsuccessful - player in already been picked up,13.0,MID,M.Asensio,Merino,1,26,3,38,-12,-1.0,-2,0.0,26.0,-38.0
14,2025-02-25T16:48:54.229310Z,27,IR,free agent,successful,,MID,Nkunku,Merino,12,19,3,38,-19,-1.5833333333333333,9,15.0,4.0,-23.0
15,2025-02-22T20:21:12.329606Z,27,BP,waiver,unsuccessful - player in already been picked up,2.0,MID,M.Asensio,De Bruyne,1,26,0,40,-14,-1.1666666666666667,1,0.0,26.0,-40.0
16,2025-02-22T19:44:39.635796Z,27,AC,waiver,successful,1.0,MID,M.Asensio,Iwobi,1,26,1,45,-19,-1.5833333333333333,0,1.0,25.0,-44.0
17,2025-02-24T06:09:37.170001Z,27,LD,waiver,successful,6.0,MID,Neto,Iwobi,11,50,1,45,5,0.4166666666666667,10,17.0,33.0,-28.0
18,2025-02-24T17:49:34.591686Z,27,TS,waiver,unsuccessful - player in already been picked up,3.0,MID,B.Fernandes,Rogers,10,58,7,58,0,0.0,3,0.0,58.0,-58.0
19,2025-02-24T17:49:34.591731Z,27,TS,waiver,successful,4.0,MID,De Bruyne,Rogers,0,40,7,58,-18,-1.5,-7,0.0,40.0,-58.0
20,2025-02-24T16:59:03.745051Z,27,HC,waiver,successful,1.0,MID,B.Fernandes,Semenyo,10,58,1,57,1,0.08333333333333333,9,55.0,3.0,-2.0
21,2024-08-21T10:28:53.125933Z,2,JP,waiver,successful,2.0,MID,Doku,Neto,2,85,4,103,-18,-0.4864864864864865,-2,4.0,81.0,-99.0
22,2025-05-02T15:11:14.515922Z,35,JP,free agent,successful,,MID,Schade,Neto,14,29,5,16,13,3.25,9,27.0,2.0,11.0
23,2025-05-01T20:40:15.351819Z,35,AN,waiver,successful,18.0,MID,Savinho,Neto,0,2,5,16,-14,-3.5,-5,1.0,1.0,-15.0
24,2024-08-21T10:28:53.125982Z,2,JP,waiver,successful,5.0,FWD,Nketiah,G.Jesus,0,53,0,42,11,0.2972972972972973,0,6.0,47.0,-36.0
25,2024-08-21T10:28:53.126005Z,2,JP,waiver,unsuccessful - player out already gone,8.0,FWD,Wood,G.Jesus,1,191,0,42,149,4.027027027027027,1,0.0,191.0,-42.0
26,2024-08-20T19:07:53.414647Z,2,MN,waiver,unsuccessful - player in already been picked up,7.0,FWD,Wood,Gakpo,1,191,1,127,64,1.7297297297297298,0,0.0,191.0,-127.0
27,2024-08-20T19:07:53.414676Z,2,MN,waiver,unsuccessful - player out already gone,8.0,FWD,Vardy,Gakpo,2,120,1,127,-7,-0.1891891891891892,1,0.0,120.0,-127.0
28,2024-08-20T19:07:53.414586Z,2,MN,waiver,successful,2.0,FWD,Welbeck,Gakpo,9,113,1,127,-14,-0.3783783783783784,8,83.0,30.0,-44.0
29,2024-08-23T09:41:46.992137Z,2,LB,waiver,successful,4.0,FWD,Wood,João Pedro,1,191,8,124,67,1.8108108108108107,-7,189.0,2.0,65.0
30,2024-08-23T09:41:46.992185Z,2,LB,waiver,unsuccessful - player out already gone,11.0,FWD,Vardy,João Pedro,2,120,8,124,-4,-0.10810810810810811,-6,0.0,120.0,-124.0
31,2024-08-24T08:22:25.612869Z,2,JP,free agent,successful,,MID,Martinelli,Rice,3,122,2,124,-2,-0.05405405405405406,1,41.0,81.0,-83.0
32,2024-10-04T09:20:09.150378Z,7,JP,waiver,unsuccessful - player in already been picked up,3.0,MID,Martinelli,Rogers,6,97,3,136,-39,-1.21875,3,0.0,97.0,-136.0
33,2024-10-04T11:56:10.778225Z,7,JP,free agent,successful,,MID,Trossard,Rogers,1,130,3,136,-6,-0.1875,-2,28.0,102.0,-108.0
34,2024-10-01T09:26:40.238530Z,7,CR,waiver,successful,2.0,MID,Martinelli,Szoboszlai,6,97,1,122,-25,-0.78125,5,19.0,78.0,-103.0
35,2024-10-04T07:22:07.234577Z,7,HC,waiver,unsuccessful - player out already gone,5.0,MID,Trossard,Sterling,1,130,1,24,106,3.3125,0,0.0,130.0,-24.0
36,2024-10-04T07:22:07.234555Z,7,HC,waiver,successful,4.0,MID,Barnes,Sterling,3,95,1,24,71,2.21875,2,8.0,87.0,-16.0
37,2024-10-04T07:22:07.234596Z,7,HC,waiver,unsuccessful - player out already gone,6.0,MID,Johnson,Sterling,7,108,1,24,84,2.625,6,0.0,108.0,-24.0
38,2024-11-27T20:15:46.574778Z,13,JP,waiver,successful,1.0,MID,Maddison,Rogers,2,65,2,114,-49,-1.8846153846153846,0,31.0,34.0,-83.0
39,2024-11-26T05:48:37.046210Z,13,LD,waiver,unsuccessful - player in already been picked up,4.0,MID,Maddison,Barnes,2,65,2,80,-15,-0.5769230769230769,0,0.0,65.0,-80.0
40,2024-11-26T05:48:37.046265Z,13,LD,waiver,successful,5.0,MID,Trossard,Barnes,12,118,2,80,38,1.4615384615384615,10,56.0,62.0,-24.0
41,2024-11-23T20:40:46.791939Z,13,CR,waiver,unsuccessful - player in already been picked up,2.0,MID,Maddison,Semenyo,2,65,0,118,-53,-2.0384615384615383,2,0.0,65.0,-118.0
42,2024-11-26T08:53:27.405080Z,13,TS,waiver,unsuccessful - player in already been picked up,3.0,MID,Maddison,Neto,2,65,3,79,-14,-0.5384615384615384,-1,0.0,65.0,-79.0
43,2024-12-25T09:03:03.265910Z,18,JP,waiver,successful,4.0,MID,Martinelli,Sancho,3,65,2,44,21,1.0,1,37.0,28.0,-7.0
44,2024-12-24T07:38:26.322131Z,18,HC,waiver,unsuccessful - player in already been picked up,6.0,MID,Martinelli,Mitoma,3,65,3,80,-15,-0.7142857142857143,0,0.0,65.0,-80.0
45,2024-11-01T07:49:13.567024Z,10,JP,waiver,successful,2.0,MID,Rashford,Sancho,2,68,0,67,1,0.034482758620689655,2,19.0,49.0,-48.0
46,2024-10-31T13:31:17.921245Z,10,AN,waiver,unsuccessful - player in already been picked up,6.0,MID,Barnes,Sancho,1,89,0,67,22,0.7586206896551724,1,0.0,89.0,-67.0
47,2024-11-01T11:38:52.770349Z,10,AN,free agent,successful,,MID,Neto,Sancho,2,90,0,67,23,0.7931034482758621,2,45.0,45.0,-22.0
48,2025-03-31T16:19:30.201402Z,30,JP,waiver,successful,7.0,MID,Martinelli,Nwaneri,5,32,6,20,12,1.3333333333333333,-1,11.0,21.0,-9.0
49,2025-03-31T16:19:30.201423Z,30,JP,waiver,unsuccessful - player out already gone,13.0,MID,Rashford,Nwaneri,8,21,6,20,1,0.1111111111111111,2,0.0,21.0,-20.0
50,2025-03-31T17:47:35.384062Z,30,HC,free agent,successful,,MID,Rashford,Hudson-Odoi,8,21,0,8,13,1.4444444444444444,8,21.0,0.0,13.0
51,2025-03-31T15:31:13.336250Z,30,AN,waiver,unsuccessful - player in already been picked up,29.0,MID,Rashford,Neto,8,21,2,35,-14,-1.5555555555555556,6,0.0,21.0,-35.0
52,2025-03-31T15:31:13.336232Z,30,AN,waiver,unsuccessful - player in already been picked up,28.0,MID,Rashford,Maddison,8,21,2,15,6,0.6666666666666666,6,0.0,21.0,-15.0
53,2025-03-31T15:31:13.336096Z,30,AN,waiver,unsuccessful - player out already gone,19.0,MID,Barnes,Maddison,5,57,2,15,42,4.666666666666667,3,0.0,57.0,-15.0
54,2025-03-31T15:31:13.336054Z,30,AN,waiver,unsuccessful - player out already gone,13.0,MID,Gordon,Maddison,0,11,2,15,-4,-0.4444444444444444,-2,0.0,11.0,-15.0
55,2025-03-31T15:31:13.336000Z,30,AN,waiver,successful,5.0,MID,Eze,Maddison,2,62,2,15,47,5.222222222222222,0,27.0,35.0,12.0
56,2025-03-31T12:17:39.150053Z,30,IR,waiver,unsuccessful - player in already been picked up,31.0,MID,Rashford,J.Gomes,8,21,2,17,4,0.4444444444444444,6,0.0,21.0,-17.0
57,2025-03-31T12:17:39.149961Z,30,IR,waiver,unsuccessful - player in already been picked up,17.0,MID,Gordon,J.Gomes,0,11,2,17,-6,-0.6666666666666666,-2,0.0,11.0,-17.0
58,2025-03-31T12:17:39.150036Z,30,IR,waiver,unsuccessful - player in already been picked up,30.0,MID,Eze,J.Gomes,2,62,2,17,45,5.0,0,0.0,62.0,-17.0
59,2025-03-31T12:17:39.150071Z,30,IR,waiver,successful,32.0,MID,O.Dango,J.Gomes,2,12,2,17,-5,-0.5555555555555556,0,2.0,10.0,-15.0
60,2025-03-31T13:16:05.972092Z,30,BP,waiver,successful,2.0,MID,Rashford,Garnacho,8,21,1,28,-7,-0.7777777777777778,7,21.0,0.0,-7.0
61,2025-01-13T11:36:41.731683Z,21,JP,waiver,unsuccessful - player in already been picked up,13.0,MID,Savinho,Maddison,5,39,1,34,5,0.2777777777777778,4,0.0,39.0,-34.0
