league_code,date_added,gameweek,short_name,kind,result,index,priority,position,element_in,player_in,element_out,player_out,player_in_points_scored_in_week,player_out_points_scored_in_week,net_points_of_transfer_in_week,abs_net_trade,transfer_category
Prem,2025-08-21 07:08:55.949857+00:00,2,TS,waiver,successful,9.0,2.0,DEF,74,Truffert (6),8,J.Timber (24),6,24,-18,18,waiver - successful
Prem,2025-10-12 17:16:51.407588+00:00,8,AN,waiver,successful,1.0,1.0,DEF,225,James (18),473,Hall (0),18,0,18,18,waiver - successful
Prem,2026-02-09 09:27:25.512927+00:00,26,MN,waiver,successful,10.0,3.0,DEF,371,Kerkez (0),720,Hincapie (15),0,15,-15,15,waiver - successful
Prem,2026-03-17 20:50:21.478749+00:00,31,LB,waiver,successful,5.0,2.0,DEF,508,N.Williams (15),257,Lacroix (0),15,0,15,15,waiver - successful
Prem,2026-04-16 21:11:44.261367+00:00,33,AN,waiver,unsuccessful - player in already been picked up,32.0,11.0,DEF,406,Khusanov (15),7,Calafiori (0),15,0,15,15,waiver - unsuccessful - player in already been picked up
Prem,2026-04-17 07:32:23.284803+00:00,33,JP,waiver,successful,20.0,3.0,DEF,406,Khusanov (15),408,Rúben (0),15,0,15,15,waiver - successful
Prem,2026-04-29 11:09:45.824734+00:00,35,TS,waiver,successful,6.0,1.0,MID,418,Doku (15),718,Xavi (0),15,0,15,15,waiver - successful
Prem,2026-04-29 11:09:45.824946+00:00,35,TS,waiver,unsuccessful - player in already been picked up,33.0,9.0,DEF,72,Senesi (14),606,Mavropanos (-1),14,-1,15,15,waiver - unsuccessful - player in already been picked up
Prem,2025-08-27 19:51:50.610097+00:00,3,AN,waiver,unsuccessful - player in already been picked up,18.0,4.0,DEF,575,Van de Ven (1),260,Guéhi (15),1,15,-14,14,waiver - unsuccessful - player in already been picked up
Prem,2025-08-27 19:51:50.610115+00:00,3,AN,waiver,successful,19.0,5.0,DEF,507,Aina (1),260,Guéhi (15),1,15,-14,14,waiver - successful
Prem,2025-11-21 07:41:43.533523+00:00,12,AN,waiver,unsuccessful - player in already been picked up,5.0,2.0,MID,47,Rogers (15),718,Xavi (1),15,1,14,14,waiver - unsuccessful - player in already been picked up
Prem,2025-11-21 07:41:43.533553+00:00,12,AN,waiver,successful,6.0,3.0,MID,487,Barnes (15),718,Xavi (1),15,1,14,14,waiver - successful
Prem,2026-02-09 09:27:25.512965+00:00,26,MN,waiver,unsuccessful - player in already been picked up,17.0,5.0,DEF,440,Dalot (1),720,Hincapie (15),1,15,-14,14,waiver - unsuccessful - player in already been picked up
Prem,2026-04-16 21:11:44.261350+00:00,33,AN,waiver,unsuccessful - player out already gone,31.0,10.0,MID,784,Groß (16),487,Barnes (2),16,2,14,14,waiver - unsuccessful - player out already gone
Prem,2026-04-28 20:10:41.208344+00:00,35,AN,waiver,unsuccessful - player in already been picked up,29.0,7.0,DEF,72,Senesi (14),8,J.Timber (0),14,0,14,14,waiver - unsuccessful - player in already been picked up
Prem,2025-08-20 19:47:54.044273+00:00,2,LD,waiver,successful,10.0,1.0,DEF,7,Calafiori (13),372,Robertson (0),13,0,13,13,waiver - successful
Prem,2025-08-29 09:55:53.500294+00:00,3,LD,waiver,successful,16.0,4.0,DEF,226,Chalobah (13),11,White (0),13,0,13,13,waiver - successful
Prem,2025-09-11 16:18:05.669358+00:00,4,AN,waiver,successful,15.0,3.0,DEF,575,Van de Ven (14),441,Dorgu (1),14,1,13,13,waiver - successful
Prem,2025-11-07 07:02:33.396522+00:00,11,AN,waiver,successful,9.0,4.0,GKP,32,Martinez (14),565,Vicario (1),14,1,13,13,waiver - successful
Prem,2026-04-17 10:54:33.549864+00:00,33,AN,free agent,successful,,,MID,698,Okafor (16),83,O.Dango (3),16,3,13,13,free agent - successful
Prem,2026-04-28 20:10:41.208380+00:00,35,AN,waiver,unsuccessful - player in already been picked up,31.0,9.0,DEF,72,Senesi (14),473,Hall (1),14,1,13,13,waiver - unsuccessful - player in already been picked up
Prem,2026-04-30 14:04:14.477212+00:00,35,LD,waiver,unsuccessful - player in already been picked up,23.0,4.0,DEF,72,Senesi (14),374,Konaté (1),14,1,13,13,waiver - unsuccessful - player in already been picked up
Prem,2025-08-21 18:06:59.259151+00:00,2,AN,waiver,unsuccessful - player in already been picked up,22.0,5.0,DEF,7,Calafiori (13),10,Lewis-Skelly (1),13,1,12,12,waiver - unsuccessful - player in already been picked up
Prem,2025-12-19 09:56:31.073127+00:00,17,LB,waiver,successful,15.0,4.0,FWD,691,Calvert-Lewin (13),215,Flemming (1),13,1,12,12,waiver - successful
Prem,2026-01-05 15:29:40.398144+00:00,21,MN,waiver,successful,1.0,1.0,DEF,106,Collins (13),440,Dalot (1),13,1,12,12,waiver - successful
Prem,2026-01-23 07:05:09.260641+00:00,23,TS,waiver,successful,5.0,1.0,MID,418,Doku (1),387,Szoboszlai (13),1,13,-12,12,waiver - successful
Prem,2026-01-28 07:51:14.188171+00:00,24,LD,waiver,successful,2.0,1.0,MID,457,Casemiro (13),427,Reijnders (1),13,1,12,12,waiver - successful
Prem,2026-04-23 08:18:42.396412+00:00,34,LD,waiver,successful,28.0,7.0,MID,457,Casemiro (12),414,Foden (0),12,0,12,12,waiver - successful
Prem,2026-05-08 08:42:41.351534+00:00,36,MN,waiver,unsuccessful - player in already been picked up,8.0,2.0,MID,414,Foden (13),26,Zubimendi (1),13,1,12,12,waiver - unsuccessful - player in already been picked up
Prem,2025-10-24 14:33:25.955822+00:00,9,LD,free agent,successful,,,DEF,151,Van Hecke (2),348,Rodon (13),2,13,-11,11,free agent - successful
Prem,2025-11-06 15:54:23.741350+00:00,11,TS,waiver,successful,5.0,1.0,DEF,411,O'Reilly (11),478,Trippier (0),11,0,11,11,waiver - successful
Prem,2025-11-29 20:17:55.118314+00:00,14,AN,waiver,unsuccessful - player out already gone,4.0,2.0,FWD,64,Watkins (13),735,Kolo Muani (2),13,2,11,11,waiver - unsuccessful - player out already gone
Prem,2026-01-30 09:43:13.179551+00:00,24,JP,waiver,unsuccessful - player out already gone,10.0,2.0,DEF,374,Konaté (11),11,White (0),11,0,11,11,waiver - unsuccessful - player out already gone
Prem,2026-02-06 09:17:43.566802+00:00,25,JP,free agent,successful,,,DEF,408,Rúben (1),440,Dalot (12),1,12,-11,11,free agent - successful
Prem,2026-02-19 04:49:13.330867+00:00,27,LD,waiver,successful,1.0,1.0,MID,390,Gravenberch (3),266,Eze (14),3,14,-11,11,waiver - successful
