element,place,gameweek,short_name,league_code,originally_starting,id,total_points,points_before_auto_subs,player_total_points,web_name,position,team_id,team_name,drafter_name,draft_index,points_scored,index,round,in_original_draft,optimal_points,total,points_scored_pct,points_scored_cumulative,team,gameweek_matches,opposition,home_away,team_score,opposition_score,team_difficulty,opposition_difficulty,kickoff_time_first,optimal_weight
1,1,1,AC,Conf,1,1,10,10,162,Raya,GKP,1,ARS,AC,42.0,10,42,7,1,10.0,1845,0.005420054200542005,10,ARS,1.0,MUN,A,1.0,0.0,4.0,4.0,2025-08-17 15:30:00+00:00,1.0
1,1,2,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,16,ARS,1.0,LEE,H,5.0,0.0,2.0,5.0,2025-08-23 16:30:00+00:00,1.0
1,1,3,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,0.0,1845,0.001084010840108401,18,ARS,1.0,LIV,A,0.0,1.0,4.0,4.0,2025-08-31 15:30:00+00:00,0.0
1,1,4,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,24,ARS,1.0,NFO,H,3.0,0.0,3.0,5.0,2025-09-13 11:30:00+00:00,1.0
1,1,5,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,2.0,1845,0.001084010840108401,26,ARS,1.0,MCI,H,1.0,1.0,4.0,5.0,2025-09-21 15:30:00+00:00,1.0
1,1,6,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,2.0,1845,0.001084010840108401,28,ARS,1.0,NEW,A,2.0,1.0,3.0,4.0,2025-09-28 15:30:00+00:00,1.0
1,1,7,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,34,ARS,1.0,WHU,H,2.0,0.0,2.0,5.0,2025-10-04 14:00:00+00:00,1.0
1,1,8,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,40,ARS,1.0,FUL,A,1.0,0.0,3.0,4.0,2025-10-18 16:30:00+00:00,1.0
1,1,9,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,46,ARS,1.0,CRY,H,1.0,0.0,3.0,5.0,2025-10-26 14:00:00+00:00,1.0
1,1,10,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,52,ARS,1.0,BUR,A,2.0,0.0,2.0,4.0,2025-11-01 15:00:00+00:00,1.0
1,1,11,AC,Conf,1,1,1,1,162,Raya,GKP,1,ARS,AC,42.0,1,42,7,1,0.0,1845,0.0005420054200542005,53,ARS,1.0,SUN,A,2.0,2.0,3.0,4.0,2025-11-08 17:30:00+00:00,0.0
1,1,12,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,2.0,1845,0.001084010840108401,55,ARS,1.0,TOT,H,4.0,1.0,3.0,5.0,2025-11-23 16:30:00+00:00,1.0
1,1,13,AC,Conf,1,1,3,3,162,Raya,GKP,1,ARS,AC,42.0,3,42,7,1,1.5,1845,0.0016260162601626016,58,ARS,1.0,CHE,A,1.0,1.0,4.0,4.0,2025-11-30 16:30:00+00:00,0.5
1,1,14,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,64,ARS,1.0,BRE,H,2.0,0.0,3.0,5.0,2025-12-03 19:30:00+00:00,1.0
1,1,15,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,1.0,1845,0.001084010840108401,66,ARS,1.0,AVL,A,1.0,2.0,4.0,4.0,2025-12-06 12:30:00+00:00,0.5
1,1,16,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,1.0,1845,0.001084010840108401,68,ARS,1.0,WOL,H,2.0,1.0,1.0,5.0,2025-12-13 20:00:00+00:00,0.5
1,1,17,AC,Conf,1,1,7,7,162,Raya,GKP,1,ARS,AC,42.0,7,42,7,1,7.0,1845,0.003794037940379404,75,ARS,1.0,EVE,A,1.0,0.0,3.0,4.0,2025-12-20 20:00:00+00:00,1.0
1,1,18,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,1.0,1845,0.001084010840108401,77,ARS,1.0,BHA,H,2.0,1.0,3.0,5.0,2025-12-27 15:00:00+00:00,0.5
1,1,19,AC,Conf,1,1,2,2,162,Raya,GKP,1,ARS,AC,42.0,2,42,7,1,0.0,1845,0.001084010840108401,79,ARS,1.0,AVL,H,4.0,1.0,3.0,5.0,2025-12-30 20:15:00+00:00,0.0
1,1,20,AC,Conf,1,1,1,1,162,Raya,GKP,1,ARS,AC,42.0,1,42,7,1,0.0,1845,0.0005420054200542005,80,ARS,1.0,BOU,A,3.0,2.0,3.0,4.0,2026-01-03 17:30:00+00:00,0.0
1,1,21,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,86,ARS,1.0,LIV,H,0.0,0.0,4.0,5.0,2026-01-08 20:00:00+00:00,1.0
1,1,22,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,92,ARS,1.0,NFO,A,0.0,0.0,3.0,4.0,2026-01-17 17:30:00+00:00,1.0
1,1,23,AC,Conf,1,1,1,1,162,Raya,GKP,1,ARS,AC,42.0,1,42,7,1,0.0,1845,0.0005420054200542005,93,ARS,1.0,MUN,H,2.0,3.0,4.0,5.0,2026-01-25 16:30:00+00:00,0.0
1,1,24,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,99,ARS,1.0,LEE,A,4.0,0.0,3.0,4.0,2026-01-31 15:00:00+00:00,1.0
1,1,25,AC,Conf,1,1,7,7,162,Raya,GKP,1,ARS,AC,42.0,7,42,7,1,7.0,1845,0.003794037940379404,106,ARS,1.0,SUN,H,3.0,0.0,2.0,5.0,2026-02-07 15:00:00+00:00,1.0
1,1,26,AC,Conf,1,1,3,3,162,Raya,GKP,1,ARS,AC,42.0,3,42,7,1,3.0,1845,0.0016260162601626016,109,ARS,2.0,BRE-WOL,AA,1.5,1.5,2.5,4.0,2026-02-12 20:00:00+00:00,1.0
1,1,27,AC,Conf,1,1,3,3,162,Raya,GKP,1,ARS,AC,42.0,3,42,7,1,3.0,1845,0.0016260162601626016,112,ARS,1.0,TOT,A,4.0,1.0,3.0,4.0,2026-02-22 16:30:00+00:00,1.0
1,1,28,AC,Conf,1,1,3,3,162,Raya,GKP,1,ARS,AC,42.0,3,42,7,1,1.5,1845,0.0016260162601626016,115,ARS,1.0,CHE,H,2.0,1.0,3.0,5.0,2026-03-01 16:30:00+00:00,0.5
1,1,29,AC,Conf,1,1,7,7,162,Raya,GKP,1,ARS,AC,42.0,7,42,7,1,7.0,1845,0.003794037940379404,122,ARS,1.0,BHA,A,1.0,0.0,4.0,4.0,2026-03-04 19:30:00+00:00,1.0
1,1,30,AC,Conf,1,1,7,7,162,Raya,GKP,1,ARS,AC,42.0,7,42,7,1,7.0,1845,0.003794037940379404,129,ARS,1.0,EVE,H,2.0,0.0,3.0,5.0,2026-03-14 17:30:00+00:00,1.0
1,12,31,AC,Conf,0,1,0,0,162,Raya,GKP,1,ARS,AC,42.0,0,42,7,1,0.0,1845,0.0,129,,,,,,,,,,
1,1,32,AC,Conf,1,1,1,1,162,Raya,GKP,1,ARS,AC,42.0,1,42,7,1,0.0,1845,0.0005420054200542005,130,ARS,1.0,BOU,H,1.0,2.0,3.0,5.0,2026-04-11 11:30:00+00:00,0.0
1,12,33,AC,Conf,0,1,1,0,162,Raya,GKP,1,ARS,AC,42.0,0,42,7,1,0.0,1845,0.0,130,ARS,1.0,MCI,A,1.0,2.0,5.0,4.0,2026-04-19 15:30:00+00:00,0.0
1,1,34,AC,Conf,1,1,10,10,162,Raya,GKP,1,ARS,AC,42.0,10,42,7,1,10.0,1845,0.005420054200542005,140,ARS,1.0,NEW,H,1.0,0.0,3.0,5.0,2026-04-25 16:30:00+00:00,1.0
1,1,35,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,6.0,1845,0.0032520325203252032,146,ARS,1.0,FUL,H,3.0,0.0,2.0,5.0,2026-05-02 16:30:00+00:00,1.0
1,1,36,AC,Conf,1,1,9,9,162,Raya,GKP,1,ARS,AC,42.0,9,42,7,1,9.0,1845,0.004878048780487805,155,ARS,1.0,WHU,A,1.0,0.0,3.0,4.0,2026-05-10 15:30:00+00:00,1.0
1,1,37,AC,Conf,1,1,6,6,162,Raya,GKP,1,ARS,AC,42.0,6,42,7,1,0.0,1845,0.0032520325203252032,161,ARS,1.0,BUR,H,1.0,0.0,1.0,5.0,2026-05-18 19:00:00+00:00,0.0
1,12,38,AC,Conf,1,1,0,0,162,Raya,GKP,1,ARS,AC,42.0,0,42,7,1,0.0,1845,0.0,161,ARS,1.0,CRY,A,2.0,1.0,3.0,4.0,2026-05-24 15:00:00+00:00,
5,3,1,AC,Conf,1,5,6,6,209,Gabriel,DEF,1,ARS,AC,19.0,6,19,4,1,6.0,1845,0.0032520325203252032,6,ARS,1.0,MUN,A,1.0,0.0,4.0,4.0,2025-08-17 15:30:00+00:00,1.0
5,3,2,AC,Conf,1,5,6,6,209,Gabriel,DEF,1,ARS,AC,19.0,6,19,4,1,6.0,1845,0.0032520325203252032,12,ARS,1.0,LEE,H,5.0,0.0,2.0,5.0,2025-08-23 16:30:00+00:00,1.0
5,14,3,AC,Conf,0,5,2,0,209,Gabriel,DEF,1,ARS,AC,19.0,0,19,4,1,2.0,1845,0.0,12,ARS,1.0,LIV,A,0.0,1.0,4.0,4.0,2025-08-31 15:30:00+00:00,1.0
5,3,4,AC,Conf,1,5,9,9,209,Gabriel,DEF,1,ARS,AC,19.0,9,19,4,1,9.0,1845,0.004878048780487805,21,ARS,1.0,NFO,H,3.0,0.0,3.0,5.0,2025-09-13 11:30:00+00:00,1.0
5,14,5,AC,Conf,0,5,2,0,209,Gabriel,DEF,1,ARS,AC,19.0,0,19,4,1,2.0,1845,0.0,21,ARS,1.0,MCI,H,1.0,1.0,4.0,5.0,2025-09-21 15:30:00+00:00,1.0
5,14,6,AC,Conf,0,5,13,0,209,Gabriel,DEF,1,ARS,AC,19.0,0,19,4,1,13.0,1845,0.0,21,ARS,1.0,NEW,A,2.0,1.0,3.0,4.0,2025-09-28 15:30:00+00:00,1.0
5,4,7,AC,Conf,1,5,9,9,209,Gabriel,DEF,1,ARS,AC,19.0,9,19,4,1,9.0,1845,0.004878048780487805,30,ARS,1.0,WHU,H,2.0,0.0,2.0,5.0,2025-10-04 14:00:00+00:00,1.0
5,4,8,AC,Conf,1,5,12,12,209,Gabriel,DEF,1,ARS,AC,19.0,12,19,4,1,12.0,1845,0.0065040650406504065,42,ARS,1.0,FUL,A,1.0,0.0,3.0,4.0,2025-10-18 16:30:00+00:00,1.0
5,4,9,AC,Conf,1,5,9,9,209,Gabriel,DEF,1,ARS,AC,19.0,9,19,4,1,9.0,1845,0.004878048780487805,51,ARS,1.0,CRY,H,1.0,0.0,3.0,5.0,2025-10-26 14:00:00+00:00,1.0
5,4,10,AC,Conf,1,5,12,12,209,Gabriel,DEF,1,ARS,AC,19.0,12,19,4,1,12.0,1845,0.0065040650406504065,63,ARS,1.0,BUR,A,2.0,0.0,2.0,4.0,2025-11-01 15:00:00+00:00,1.0
5,2,11,AC,Conf,1,5,1,1,209,Gabriel,DEF,1,ARS,AC,19.0,1,19,4,1,0.7777777777777778,1845,0.0005420054200542005,64,ARS,1.0,SUN,A,2.0,2.0,3.0,4.0,2025-11-08 17:30:00+00:00,0.7777777777777778
5,15,12,AC,Conf,0,5,0,0,209,Gabriel,DEF,1,ARS,AC,19.0,0,19,4,1,0.0,1845,0.0,64,ARS,1.0,TOT,H,4.0,1.0,3.0,5.0,2025-11-23 16:30:00+00:00,
5,15,13,AC,Conf,0,5,0,0,209,Gabriel,DEF,1,ARS,AC,19.0,0,19,4,1,0.0,1845,0.0,64,ARS,1.0,CHE,A,1.0,1.0,4.0,4.0,2025-11-30 16:30:00+00:00,
5,15,14,AC,Conf,0,5,0,0,209,Gabriel,DEF,1,ARS,AC,19.0,0,19,4,1,0.0,1845,0.0,64,ARS,1.0,BRE,H,2.0,0.0,3.0,5.0,2025-12-03 19:30:00+00:00,
